,Date,Tweet Id,Text,Username
0,2021-02-11 05:54:51+00:00,1359742676715802630,"I literally haven't been able to find ANY good news today. #CancelCulture #JoeBiden #Congress #TheMandalorian #DisneyPlus #Disney and so much more...It's making me ANGRY. 

""They Wouldn't like me when I'm Angry"" 

                                                             -Hulk",TheRealBennetts
1,2021-02-11 05:54:39+00:00,1359742625885036544,"@POTUS Dear President @POTUS and @VP, most of 2020 DV lottery winners did not even make it to the interview due to the pandemic(Covid-19). Please help them out.

@joebiden
@kamalaharris 
@secblinken 
#MuslimBan #DV_Diversity_visa #BidenTakeAction #JoeBiden #GodBlessAmerica",byambaa89532616
2,2021-02-11 05:54:09+00:00,1359742501901324288,"@POTUS Dear President @POTUS and @VP, most of 2020 DV lottery winners did not even make it to the interview due to the pandemic(Covid-19). Please help them out.

@joebiden
@kamalaharris 
@secblinken 
#MuslimBan #DV_Diversity_visa #BidenTakeAction #JoeBiden #GodBlessAmerica",byambaa89532616
3,2021-02-11 05:52:48+00:00,1359742160824799232,I'm the new Warlord of Mississippi #JoeBiden can't stop me https://t.co/Sm9bWXfdun,shayb0y
4,2021-02-11 05:52:06+00:00,1359741984425017345,"#JoeBiden had his first call as president with #XiJinping, pressing the Chinese leader about trade and Beijing’s crackdown on democracy activists in #HongKong as well as other human rights concerns. (@AP)

#China
#ForeignPolicy https://t.co/dbjixNrs2c",AlexGuiden
5,2021-02-11 05:51:34+00:00,1359741848844029957,https://t.co/XcVaW43wdJ #JoeBiden #Myanmar,AmritVichar
6,2021-02-11 05:48:19+00:00,1359741031592325120,"No change in policy on Jammu and Kashmir and the region: US State Dept #JoeBiden #PMOIndia #BNB #BoldandBeautiful #BanTwitter #BBB3 #BlueLivesMatter #DonaldTrump 

Read more at: https://t.co/SIwVENxsWP https://t.co/Zd3pzdtIzu",KhushiiMahajan
7,2021-02-11 05:48:03+00:00,1359740963980251141,"Seems to be Like Joe Biden Were given a New #Rolex to Have fun His Large New Process  #magplanet #styleupnow #mypressnews
#myhealthfunda https://t.co/qTC1LoLQMH #barackobama #billclinton #joebiden #kevinlove #style #textbelowcenterfullbleed #watches #watchesoftheweek #web",kavita_sharma24
8,2021-02-11 05:47:51+00:00,1359740916672704513,"@Oliver29239048 @jactioncenter @AILANational @Mayer_Brown @DvObserver Dear President @POTUS and @VP, most of 2020 DV lottery winners did not even make it to the interview due to the pandemic(Covid-19). Please help them out.

@joebiden
@kamalaharris 
@secblinken 
#MuslimBan #DV_Diversity_visa #BidenTakeAction #JoeBiden #GodBlessAmerica",sinak50610617
9,2021-02-11 05:47:31+00:00,1359740830202880000,"@THEWALL93129037 @POTUS @VP @SecBlinken @USCIS @USADarFarsi @WhiteHouse @StateDept @NIACouncil @tparsi @curtisatlaw @AbadirBarre @rafaesq @gsiskind @ckuck @jeffjoseph @wstock215 @AILANational @ImmigrLaw360 @GregChenAILA @AILAExecDir @neal_katyal @OmarJadwat @cyrusmehta Dear President @POTUS and @VP, most of 2020 DV lottery winners did not even make it to the interview due to the pandemic(Covid-19). Please help them out.

@joebiden
@kamalaharris 
@secblinken 
#MuslimBan #DV_Diversity_visa #BidenTakeAction #JoeBiden #GodBlessAmerica",sinak50610617
10,2021-02-11 05:44:05+00:00,1359739968038477824,"#US President #JoeBiden announced a Department of Defense taskforce to address '#China-related matters' during a briefing at the #Pentagon, in #WashingtonDC on Wednesday. https://t.co/CwZnvmSwnj",Ruptly
11,2021-02-11 05:43:21+00:00,1359739781995978753,"So here again I’m reminded why I left the @DNC. @SpeakerPelosi, @JoeBiden, @HouseDemocrats and other members of the Democratic Party leadership perfectly embody racial hypocrisy.  

Gross: https://t.co/B9BcZkKCTJ

#racism #politics #JoeBiden #NancyPelosi #MSNBC",olivia_p_walker
12,2021-02-11 05:42:42+00:00,1359739617226813442,"Dear President @POTUS and @VP , please give another chance to all Lottery winners 2020 who their interview had been cancelled due to Covid-19.

@joebiden
@kamalaharris
@secblinken 
#MuslimBan #DV_Diversity_visa #BidenTakeAction #JoeBiden #GodBlessAmerica",ZaSomaye
