,Date,Tweet Id,Text,Username,sentiment
0,2021-02-11 05:54:51+00:00,1359742676715802630,I literally haven t been able to find ANY good news today CancelCulture JoeBiden Congress TheMandalorian DisneyPlus Disney and so much more It s making me ANGRY They Wouldn t like me when I m Angry Hulk,TheRealBennetts,1
1,2021-02-11 05:54:39+00:00,1359742625885036544,Dear President and most of 2020 DV lottery winners did not even make it to the interview due to the pandemic Covid 19 Please help them out MuslimBan DV Diversity visa BidenTakeAction JoeBiden GodBlessAmerica,byambaa89532616,1
2,2021-02-11 05:54:09+00:00,1359742501901324288,Dear President and most of 2020 DV lottery winners did not even make it to the interview due to the pandemic Covid 19 Please help them out MuslimBan DV Diversity visa BidenTakeAction JoeBiden GodBlessAmerica,byambaa89532616,1
3,2021-02-11 05:52:48+00:00,1359742160824799232,I m the new Warlord of Mississippi JoeBiden can t stop me,shayb0y,1
4,2021-02-11 05:52:06+00:00,1359741984425017345,JoeBiden had his first call as president with XiJinping pressing the Chinese leader about trade and Beijing s crackdown on democracy activists in HongKong as well as other human rights concerns China ForeignPolicy,AlexGuiden,1
5,2021-02-11 05:51:34+00:00,1359741848844029957,JoeBiden Myanmar,AmritVichar,0
6,2021-02-11 05:48:19+00:00,1359741031592325120,No change in policy on Jammu and Kashmir and the region US State Dept JoeBiden PMOIndia BNB BoldandBeautiful BanTwitter BBB3 BlueLivesMatter DonaldTrump Read more at,KhushiiMahajan,1
7,2021-02-11 05:48:03+00:00,1359740963980251141,Seems to be Like Joe Biden Were given a New Rolex to Have fun His Large New Process magplanet styleupnow mypressnews myhealthfunda barackobama billclinton joebiden kevinlove style textbelowcenterfullbleed watches watchesoftheweek web,kavita_sharma24,1
8,2021-02-11 05:47:51+00:00,1359740916672704513,Brown Dear President and most of 2020 DV lottery winners did not even make it to the interview due to the pandemic Covid 19 Please help them out MuslimBan DV Diversity visa BidenTakeAction JoeBiden GodBlessAmerica,sinak50610617,1
9,2021-02-11 05:47:31+00:00,1359740830202880000,katyal Dear President and most of 2020 DV lottery winners did not even make it to the interview due to the pandemic Covid 19 Please help them out MuslimBan DV Diversity visa BidenTakeAction JoeBiden GodBlessAmerica,sinak50610617,1
10,2021-02-11 05:44:05+00:00,1359739968038477824,US President JoeBiden announced a Department of Defense taskforce to address China related matters during a briefing at the Pentagon in WashingtonDC on Wednesday,Ruptly,0
11,2021-02-11 05:43:21+00:00,1359739781995978753,So here again I m reminded why I left the and other members of the Democratic Party leadership perfectly embody racial hypocrisy Gross racism politics JoeBiden NancyPelosi MSNBC,olivia_p_walker,1
12,2021-02-11 05:42:42+00:00,1359739617226813442,Dear President and please give another chance to all Lottery winners 2020 who their interview had been cancelled due to Covid 19 MuslimBan DV Diversity visa BidenTakeAction JoeBiden GodBlessAmerica,ZaSomaye,-1
13,2021-02-11 05:41:42+00:00,1359739368324231170,THIS SteelYourSpine JoeBiden PassTheBill StopNegotiatingWithTedCruzAndMitchMcConnell CovidRelief CovidReliefNow,ChristyReedy7,0
14,2021-02-11 05:41:24+00:00,1359739290868211712,JoeBiden ImpeachBiden,acewelb,0
15,2021-02-11 05:41:06+00:00,1359739216037609473,US President said on Tuesday he agreed with a proposal by Democratic lawmakers that would limit or phase out stimulus payments to higher income individuals as part of his 1 9 trillion relief bill US JoeBiden COVID19 Health,thekabultimes,1
16,2021-02-11 05:40:03+00:00,1359738953637662725,via JoeBiden Politics Raceandethnicity APTopNews Biden in call with China s Xi raises human rights trade,mlnangalama,0
17,2021-02-11 05:40:03+00:00,1359738951737610241,via JoeBiden DonaldTrump Politics APTopNews Riots Trial highlights Harrowing footage focus on Trump s words,mlnangalama,0
