,#tags,Tweets Count
0,Parliament,138126.0
1,#PromiseDay,
2,#BJPGovtDictatingTwitter,97824.0
3,#thursdaymorning,
4,पंडित दीनदयाल उपाध्याय,19419.0
5,Disha Sushant,41068.0
6,एकात्म मानववाद,15522.0
7,BIG EXPOSE,12887.0
8,भारतीय जनसंघ,
9,TAYLOR IS COMING,72007.0
10,Finger 3,
11,Canada,213739.0
12,Punyatithi,
13,लोक आस्था,
14,Integral Humanism,
15,Pangong Lake,
16,Trudeau,50157.0
17,hobi,132508.0
18,Joel,77609.0
19,श्री हरि,10191.0
20,Malayalam,10109.0
21,Sunshine,94399.0
22,India and China,
23,Happy New Year,277473.0
24,Child Of God SSR,124563.0
25,Parents Worship Day,59870.0
26,Canadian PM,
27,Singh Ji Insan,
28,Saint Dr,16239.0
29,खेले देब,27689.0
30,Bhima Koregaon,24979.0
31,Umtiti,63567.0
32,#SamarpanDiwas,12381.0
33,#ValimaiWrapOnFeb15,32576.0
34,#thursdayvibes,
35,#விவசாயிகளின்_காவலன்_EPS,24025.0
36,#JusticeForRailApprentice,59859.0
37,#பல்டிபழனிசாமி,19818.0
38,#ThursdayMotivation,
39,#ThursdayThoughts,
40,#ShareHappiness,20662.0
41,#Liger,22981.0
42,#DeendayalUpadhyay,
43,#Stop_Killing_Farmers,26886.0
44,#फार्मासिस्टकैडर_इसी_बजटमें,27574.0
45,#WomenInScience,12479.0
46,#Pharmacist_Cadre_inBudget2021,26975.0
47,#RajnathSingh,
