,#tags,Tweets Count
0,#FreedomForTibet,48956.0
1,#WorldRadioDay,
2,#KissDay,
3,Rohit,20936.0
4,siraj,
5,Nightingale of India,
6,HYDERABAD INSPIRED BY SSR,21329.0
7,Bumrah,
8,Olly Stone,
9,Kuldeep,
10,HAPPY BIRTHDAY RASHAMI,16985.0
11,भारत कोकिला,
12,Google Maps in India,
13,सरोजिनी नायडू,
14,Way To Go,77575.0
15,Toss,21649.0
16,प्रथम महिला,
17,Axar Patel,
18,ISRO and MapmyIndia,
19,स्वतंत्रता सेनानी,
20,Parents Worship Day,73708.0
21,Stuart Broad,
22,Mandi,57384.0
23,singh ji insan,
24,रिंकू शर्मा,433774.0
25,Foakes,
26,Saint Dr,14804.0
27,Moeen Ali,
28,Mangolpuri,37181.0
29,Musical,73910.0
30,Roses,86897.0
31,SSR Trusts SSRians,119487.0
32,#SarojiniNaidu,
33,#RepealOnlyWayAhead,65169.0
34,#SaturdayMotivation,
35,#SaturdayThoughts,
36,#NationalWomensDay,
37,#ichoosetolivehealthy,16621.0
38,#RinkuKoKyonMaara,23856.0
39,#KannadaSanatanPrabhat_22Yrs,14708.0
40,#SaturdayVibes,
41,#SaturdayMorning,
42,#Chepauk,
43,#CelebrateTrueLove,71379.0
44,#Hitman,
45,#CowardBJP,
46,#GodMorningSaturday,15620.0
47,#संविधान_ही_राष्ट्र_है,
